date,customer,talk
7/07/2017,1,8.1
10/07/2017,0.5,6.383333333
11/07/2017,1,10.71666667
12/07/2017,0.666666667,11.13333333
13/07/2017,1,7.033333333
14/07/2017,0.5,8.05
17/07/2017,0.5,6.633333333
18/07/2017,1,14.46666667
20/07/2017,1,1.633333333
24/07/2017,0,10.38333333
25/07/2017,0.666666667,12.78333333
26/07/2017,0.5,5.85
27/07/2017,0,4.4
1/08/2017,0,2.633333333
2/08/2017,1,4.633333333
3/08/2017,0,1.65
4/08/2017,0,5.933333333
8/08/2017,0,2.85
9/08/2017,0.5,5.883333333
10/08/2017,0,4.683333333
14/08/2017,0.75,13.28333333
15/08/2017,0,7.333333333
16/08/2017,1,8.05
18/08/2017,1,6.366666667
21/08/2017,0,7.516666667
22/08/2017,0.25,16.86666667
23/08/2017,1,4.566666667
24/08/2017,1,7.55
28/08/2017,1,3.883333333
29/08/2017,1,3.416666667
30/08/2017,1,2.333333333
31/08/2017,1,6.983333333
1/09/2017,0.666666667,14.56666667
4/09/2017,1,4.016666667
5/09/2017,0.666666667,16.98333333
7/09/2017,0.5,13.01666667
8/09/2017,0,4.316666667
11/09/2017,0,5.766666667
13/09/2017,1,4.133333333
14/09/2017,1,15.96666667
19/09/2017,0.5,4.466666667
20/09/2017,1,5.85
22/09/2017,1,3.15
25/09/2017,1,3.316666667
27/09/2017,1,3.25
28/09/2017,1,15.61666667
2/10/2017,1,2.983333333
3/10/2017,1,11.11666667
4/10/2017,1,13.16666667
5/10/2017,1,5.066666667
6/10/2017,1,3.15
9/10/2017,0.75,11.48333333
10/10/2017,1,14.5
11/10/2017,1,8.533333333
12/10/2017,1,9.016666667
16/10/2017,0,13.41666667
17/10/2017,1,1.166666667
18/10/2017,1,4.116666667
20/10/2017,1,10.71666667
23/10/2017,0.666666667,10.45
24/10/2017,1,6.9
26/10/2017,1,3.733333333
27/10/2017,1,13.03333333
30/10/2017,1,1.333333333
31/10/2017,1,5.666666667
1/11/2017,0,3.583333333
2/11/2017,1,16.23333333
3/11/2017,1,2
6/11/2017,0,5.95
7/11/2017,1,4.166666667
8/11/2017,1,4.983333333
9/11/2017,1,8.35
10/11/2017,1,1.916666667
13/11/2017,1,1.133333333
14/11/2017,0.5,6.533333333
15/11/2017,1,3.05
16/11/2017,0,2.8
17/11/2017,0.8,11.61666667
21/11/2017,1,6
22/11/2017,0,7.566666667
24/11/2017,1,4.366666667
28/11/2017,0.5,12.15
29/11/2017,1,9.05
30/11/2017,0.5,5.816666667
1/12/2017,1,4.25
4/12/2017,0.5,11.33333333
5/12/2017,1,14.51666667
6/12/2017,1,17.06666667
7/12/2017,1,7.033333333
11/12/2017,1,17.31666667
13/12/2017,1,2.216666667
14/12/2017,0.5,8.066666667
18/12/2017,1,15.95
21/12/2017,0,9.8
22/12/2017,1,4.05
3/01/2018,0,7.583333333
4/01/2018,0.5,9.033333333
5/01/2018,0.666666667,6.983333333
9/01/2018,1,2.866666667
10/01/2018,1,4.533333333
11/01/2018,1,13.25
12/01/2018,1,5.4
15/01/2018,0,2.8
16/01/2018,1,5.316666667
17/01/2018,1,5.6
18/01/2018,1,16.68333333
19/01/2018,0.5,3.983333333
22/01/2018,1,3.4
23/01/2018,1,3.083333333
25/01/2018,0,3.4
29/01/2018,0,7.05
30/01/2018,1,11.43333333
31/01/2018,0.5,24.96666667
1/02/2018,0.5,9.066666667
2/02/2018,1,7.1
7/02/2018,0.5,11.21666667
8/02/2018,0,7.916666667
12/02/2018,0.5,7.633333333
13/02/2018,0.5,10.65
14/02/2018,0.5,6.883333333
15/02/2018,1,2.083333333
19/02/2018,0,5.116666667
20/02/2018,0.5,4.15
21/02/2018,0,13.65
22/02/2018,1,4.166666667
23/02/2018,1,4.483333333
26/02/2018,0.333333333,21.26666667
27/02/2018,1,3.2
1/03/2018,1,5.366666667
2/03/2018,1,6.6
5/03/2018,1,7.65
6/03/2018,0,4.883333333
7/03/2018,1,2.133333333
13/03/2018,1,4.666666667
14/03/2018,0,2.866666667
16/03/2018,0.5,8.333333333
21/03/2018,1,6.033333333
22/03/2018,1,3.033333333
23/03/2018,1,12.65
26/03/2018,0.4,20.43333333
28/03/2018,1,2.133333333
29/03/2018,0.666666667,19.28333333
3/04/2018,0.5,6.566666667
5/04/2018,1,6.683333333
6/04/2018,0,8.383333333
9/04/2018,1,5.033333333
10/04/2018,1,11.73333333
11/04/2018,1,4.283333333
12/04/2018,1,2.333333333
13/04/2018,1,18.41666667
16/04/2018,0.5,5.35
17/04/2018,0.666666667,14.53333333
18/04/2018,1,1.533333333
19/04/2018,1,3.4
23/04/2018,1,4.5
24/04/2018,0.75,12.6
26/04/2018,1,2.5
27/04/2018,0,5.483333333
30/04/2018,0.666666667,8.066666667
1/05/2018,1,4.516666667
2/05/2018,1,1.916666667
3/05/2018,1,11.01666667
4/05/2018,1,6.2
8/05/2018,1,13.15
9/05/2018,0.5,4.333333333
10/05/2018,1,5.6
14/05/2018,0.5,9.1
17/05/2018,1,3.15
18/05/2018,1,8.25
23/05/2018,0.5,7.25
25/05/2018,0.333333333,10.61666667
29/05/2018,1,3.016666667
30/05/2018,0,5.533333333
31/05/2018,1,5.483333333
1/06/2018,0,2.65
4/06/2018,0,3.183333333
5/06/2018,0.5,7.583333333
6/06/2018,0,6.633333333
12/06/2018,0,4.683333333
13/06/2018,1,6.966666667
19/06/2018,0.5,10.56666667
21/06/2018,0,1.333333333
27/06/2018,0,1.583333333
2/07/2018,0.5,5.316666667
3/07/2018,1,5.4
4/07/2018,0,5.633333333
5/07/2018,1,7.75
6/07/2018,1,4.35
9/07/2018,0.5,8.266666667
10/07/2018,0.333333333,11.86666667
11/07/2018,1,2.116666667
12/07/2018,1,9.45
13/07/2018,1,7.133333333
16/07/2018,1,1.85
18/07/2018,0,2.55
19/07/2018,0,1.2
20/07/2018,1,4.216666667
23/07/2018,1,11.53333333
24/07/2018,0.666666667,14.26666667
26/07/2018,0.5,7.65
30/07/2018,0.666666667,11.03333333
2/08/2018,0.5,8.466666667
3/08/2018,0,4.65
7/08/2018,0,7.45
8/08/2018,0,15.33333333
13/08/2018,0.5,21.66666667
14/08/2018,0.5,3.1
17/08/2018,0,1.833333333
20/08/2018,0,5.133333333
21/08/2018,0.5,8.45
23/08/2018,0,7.05
24/08/2018,0,11.4
27/08/2018,0,12.05
28/08/2018,1,6.45
29/08/2018,0,6.65
30/08/2018,1,1.45
31/08/2018,0,3.15
4/09/2018,0,3.933333333
5/09/2018,0,1.933333333
6/09/2018,1,2.316666667
13/09/2018,0,20.58333333
17/09/2018,0,0.983333333
18/09/2018,1,3.4
19/09/2018,1,3.55
20/09/2018,0,6.766666667
21/09/2018,0,5.55
25/09/2018,0,10.21666667
28/09/2018,0.5,8.966666667
